Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
OLED,Universal Display Corporation,36.23,1674695592,n/a,2004,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/oled
UEIC,Universal Electronics Inc.,31.98,488730800.2,n/a,1993,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ueic
UFPI,"Universal Forest Products, Inc.",40.76,810859589.9,n/a,1993,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/ufpi
USAP,"Universal Stainless & Alloy Products, Inc.",31.83,222513217.1,n/a,1994,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/usap
UACL,"Universal Truckload Services, Inc.",27.86,837301988.3,n/a,2005,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/uacl
UVSP,Univest Corporation of Pennsylvania,19.24,320891280.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/uvsp
UPIP,"Unwired Planet, Inc.",1.79,179707327.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/upip
URRE,"Uranium Resources, Inc.",2.78,55655761.24,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urre
URBN,"Urban Outfitters, Inc.",38.35,5651710984,n/a,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/urbn
UPI,"Uroplasty, Inc.",3.37,71841686.96,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/upi
ECOL,"US Ecology, Inc.",28.15,521621892.8,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/ecol
USMO,"USA Mobility, Inc.",13.75,297633531.3,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/usmo
USAT,"USA Technologies, Inc.",1.96,64797554.92,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/usat
USATP,"USA Technologies, Inc.",18.251,8122844.813,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/usatp
USATZ,"USA Technologies, Inc.",0.87,0,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/usatz
USAK,"USA Truck, Inc.",5.69,59995963.14,n/a,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/usak
USMD,"USMD Holdings, Inc.",27.1,273345450.8,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/usmd
UTMD,"Utah Medical Products, Inc.",50.13,187235550,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/utmd
UTIW,UTi Worldwide Inc.,15.2,1592216234,n/a,2000,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/utiw
UTSI,UTStarcom Holdings Corp,2.7,106381074.6,n/a,2000,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/utsi
VYFC,Valley Financial Corporation,10.23,48973761.87,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/vyfc
VLYWW,Valley National Bancorp,0.39,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vlyww
VALU,"Value Line, Inc.",8.92,87868288.6,n/a,1983,Finance,Investment Managers,http://www.nasdaq.com/symbol/valu
VCLK,"ValueClick, Inc.",21.43,1592229049,n/a,2000,Technology,Advertising,http://www.nasdaq.com/symbol/vclk
VVTV,"ValueVision Media, Inc.",4.73,234586199.4,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/vvtv
VNDA,Vanda Pharmaceuticals Inc.,11.93,339804945.8,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vnda
BNDX,Vanguard Charlotte Funds Vanguard Total International Bond ETF,48.95,558030000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bndx
